index,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,day,month,year,Revenue
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227000000,5324,50000,Free,0.0,Everyone,Art & Design,2018-05-31,1.2,2.3,31,5,2018,0.0
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035000000,11264,100000,Free,0.0,Everyone,Art & Design,2018-07-19,2.20,4.0,19,7,2018,0.0
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015000000,11264,100000,Free,0.0,Everyone,Art & Design,2018-01-06,1.1.0,4.1,6,1,2018,0.0
34,I Creative Idea,ART_AND_DESIGN,4.7,353000000,4300,10000,Free,0.0,Teen,Art & Design,2018-04-27,1.6,4.1,27,4,2018,0.0
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564000000,9420,100000,Free,0.0,Everyone,Art & Design,2018-07-11,2.1,4.1,11,7,2018,0.0
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145000000,24576,500000,Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4,2,8,2018,0.0
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158000000,11264,10000,Free,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0,29,11,2017,0.0
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591000000,9625,500000,Free,0.0,Everyone,Art & Design,2018-03-31,1,4.0,31,3,2018,0.0
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117000000,15360,10000,Free,0.0,Everyone,Art & Design,2018-07-20,2.0.1,4.0,20,7,2018,0.0
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176000000,10240,100000,Free,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0,2,4,2018,0.0
43,Paint Splash!,ART_AND_DESIGN,3.8,2206000000,1228,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1,15,4,2018,0.0
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26000000,12288,10000,Free,0.0,Everyone,Art & Design,2018-01-03,1.0.0,4.1,3,1,2018,0.0
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531000000,24576,10000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.6.1,4.1,31,7,2018,0.0
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070000000,26624,100000,Free,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1,14,11,2017,0.0
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85000000,8192,100000,Free,0.0,Everyone,Art & Design,2017-12-17,2.0.0,4.1,17,12,2017,0.0
48,How To Draw Food,ART_AND_DESIGN,4.3,845000000,8089,100000,Free,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3,28,5,2018,0.0
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367000000,25600,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0,10,5,2018,0.0
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598000000,57344,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1,26,7,2018,0.0
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284000000,58368,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1,26,7,2018,0.0
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129000000,35840,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1,26,7,2018,0.0
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542000000,33792,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1,31,7,2018,0.0
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479000000,33792,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0,18,7,2018,0.0
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805000000,5734,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4,29,7,2018,0.0
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129000000,55296,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1,26,7,2018,0.0
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403000000,201,100000,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2,26,8,2014,0.0
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971000000,3686,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4,30,7,2018,0.0
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534000000,5836,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0,8,7,2018,0.0
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774000000,17408,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2,3,7,2018,0.0
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846000000,8806,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1,28,7,2018,0.0
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431000000,2457,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0,12,6,2018,0.0
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090000000,27648,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2,3,7,2018,0.0
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295000000,2764,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4,30,7,2018,0.0
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190000000,2560,50000,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3,14,10,2016,0.0
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530000000,7168,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0,16,7,2018,0.0
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986000000,35840,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0,2,8,2018,0.0
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379000000,16384,500000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2,2,8,2018,0.0
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920000000,16384,10000000,Free,0.0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0,11,7,2018,0.0
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021000000,17408,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0,27,7,2018,0.0
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197000000,3481,50000,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0,14,6,2018,0.0
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737000000,9113,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1,8,6,2018,0.0
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574000000,3993,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0,4,7,2018,0.0
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994000000,2969,100000,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1,27,3,2018,0.0
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136000000,38912,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1,15,7,2018,0.0
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142000000,32768,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0,24,7,2018,0.0
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168000000,37888,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2,27,7,2018,0.0
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155000000,15360,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0,30,7,2018,0.0
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138000000,5529,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0,23,7,2018,0.0
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414000000,18432,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4,23,7,2018,0.0
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348000000,38912,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3,29,7,2018,0.0
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250000000,1126,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0,27,4,2018,0.0
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617000000,8089,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1,16,5,2018,0.0
91,SKencar,AUTO_AND_VEHICLES,3.7,4806000000,35840,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0,31,7,2018,0.0
93,auto fines,AUTO_AND_VEHICLES,4.6,31433000000,17408,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0,2,8,2018,0.0
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097000000,19456,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0,23,7,2018,0.0
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754000000,14336,500000,Free,0.0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0,2,6,2018,0.0
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680000000,2252,500000,Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0,20,3,2018,0.0
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288000000,4608,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0,21,4,2018,0.0
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900000000,17408,500000,Free,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0,2,8,2018,0.0
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790000000,14336,1000000,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1,9,11,2017,0.0
100,Natural recipes for your beauty,BEAUTY,4.7,1150000000,10035,100000,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1,15,5,2018,0.0
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739000000,21504,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0,12,7,2018,0.0
103,Beauty Selfie Camera,BEAUTY,4.2,2225000000,53248,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1,28,2,2018,0.0
104,Hairstyles step by step,BEAUTY,4.6,4369000000,14336,100000,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0,25,7,2018,0.0
105,Filters for Selfie,BEAUTY,4.3,8572000000,25600,1000000,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0,10,5,2018,0.0
106,Tie - Always be happy,BEAUTY,4.7,964000000,9216,50000,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2,21,6,2018,0.0
108,Prom MakeUp Tutorial,BEAUTY,4.8,104000000,12288,10000,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0,26,6,2018,0.0
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601000000,35840,100000,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0,2,6,2018,0.0
111,Colors of white in Urdu,BEAUTY,4.5,36000000,6860,10000,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0,26,7,2018,0.0
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187000000,30720,50000,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0,24,7,2018,0.0
113,Wrinkles and rejuvenation,BEAUTY,,182000000,5836,100000,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0,20,9,2017,0.0
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30000000,2969,10000,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0,9,4,2018,0.0
115,Photo Editor 2018,BEAUTY,4.5,134000000,17408,10000,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0,1,3,2018,0.0
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74000000,2969,10000,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0,5,4,2018,0.0
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315000000,2662,1000000,Free,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0,21,11,2017,0.0
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75000000,4300,50000,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0,18,10,2017,0.0
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38000000,7270,10000,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0,29,5,2018,0.0
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834000000,58368,1000000,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0,24,7,2018,0.0
123,Manicure - nail design,BEAUTY,,119000000,3788,50000,Free,0.0,Everyone,Beauty,2018-07-23,1.3,4.1,23,7,2018,0.0
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277000000,22528,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0,12,7,2018,0.0
125,Filters for B Live,BEAUTY,4.4,2280000000,24576,500000,Free,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0,14,5,2018,0.0
126,Skin Care and Natural Beauty,BEAUTY,,654000000,7577,100000,Free,0.0,Teen,Beauty,2018-07-17,1.15,4.1,17,7,2018,0.0
127,Facial Wrinkle Reduction,BEAUTY,4.6,184000000,21504,10000,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1,2,7,2018,0.0
128,Makeup Videos,BEAUTY,3.8,9000000,3481,5000,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0,7,6,2018,0.0
129,"Secrets of beauty, youth and health",BEAUTY,,77000000,2969,10000,Free,0.0,Mature 17+,Beauty,2017-08-08,2.0,2.3,8,8,2017,0.0
130,Recipes and tips for losing weight,BEAUTY,,35000000,3174,10000,Free,0.0,Everyone 10+,Beauty,2017-12-11,2.0,3.0,11,12,2017,0.0
131,Discover Color,BEAUTY,4.0,364000000,6553,100000,Free,0.0,Everyone,Beauty,2018-05-24,1.1,4.0,24,5,2018,0.0
132,Eyeliner step by step 2018,BEAUTY,4.3,18000000,3276,5000,Free,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0,1,6,2018,0.0
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473000000,8396,100000,Free,0.0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6,1,3,2017,0.0
134,"Lady adviser (beauty, health)",BEAUTY,,30000000,10137,10000,Free,0.0,Mature 17+,Beauty,2018-01-24,3.0,3.0,24,1,2018,0.0
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66000000,2969,10000,Free,0.0,Everyone,Beauty,2018-04-05,3.1.89,4.0,5,4,2018,0.0
136,Rainbow Camera,BEAUTY,3.7,3871000000,23552,1000000,Free,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0,30,7,2018,0.0
137,Methods of teeth whitening,BEAUTY,4.7,257000000,4710,50000,Free,0.0,Everyone,Beauty,2017-08-07,1.0,4.0,7,8,2017,0.0
138,Girls hairstyles 2018,BEAUTY,4.2,62000000,3174,10000,Free,0.0,Everyone,Beauty,2018-05-28,1.9.2,4.0,28,5,2018,0.0
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857000000,5017,50000,Free,0.0,Everyone,Books & Reference,2018-08-03,1.3.2,4.4,3,8,2018,0.0
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478000000,9728,100000,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0,31,7,2017,0.0
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418000000,4300,100000,Free,0.0,Everyone,Books & Reference,2018-03-27,2.1,4.1,27,3,2018,0.0
148,Book store,BOOKS_AND_REFERENCE,4.4,22486000000,5529,1000000,Free,0.0,Teen,Books & Reference,2018-06-06,3.2.1,4.0,6,6,2018,0.0
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435000000,2867,500000,Free,0.0,Everyone,Books & Reference,2018-01-21,1.0,4.0,21,1,2018,0.0
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507000000,5120,1000000,Free,0.0,Teen,Books & Reference,2018-08-01,2.0.075,4.0,1,8,2018,0.0
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468000000,6041,5000000,Free,0.0,Everyone,Books & Reference,2018-05-27,1.911805270,2.3,27,5,2018,0.0
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860000000,13312,100000,Free,0.0,Everyone,Books & Reference,2018-07-17,1.0,4.0,17,7,2018,0.0
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934000000,7270,10000000,Free,0.0,Everyone,Books & Reference,2018-07-11,9.1.363,4.1,11,7,2018,0.0
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967000000,6860,500000,Free,0.0,Everyone,Books & Reference,2018-08-04,1.1.6,4.0,4,8,2018,0.0
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506000000,17408,1000000,Free,0.0,Everyone,Books & Reference,2018-07-20,2.3.18,4.1,20,7,2018,0.0
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862000000,19456,1000000,Free,0.0,Everyone,Books & Reference,2018-04-27,2.2.5,4.1,27,4,2018,0.0
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084000000,6860,500000,Free,0.0,Everyone,Books & Reference,2018-05-17,15.0,2.3,17,5,2018,0.0
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303000000,21504,1000000,Free,0.0,Everyone,Books & Reference,2018-06-02,18.05.31+530,4.1,2,6,2018,0.0
163,Anonymous caller detection,BOOKS_AND_REFERENCE,,161000000,2764,10000,Free,0.0,Everyone,Books & Reference,2018-07-13,1.0,2.3,13,7,2018,0.0
164,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842000000,37888,5000000,Free,0.0,Everyone,Books & Reference,2018-06-25,5.0.6,4.0,25,6,2018,0.0
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831000000,15360,100000,Free,0.0,Teen,Books & Reference,2018-07-04,1.2.3,4.0,4,7,2018,0.0
166,Read books online,BOOKS_AND_REFERENCE,4.1,91615000000,23552,5000000,Free,0.0,Mature 17+,Books & Reference,2018-06-29,3.12,4.1,29,6,2018,0.0
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620000000,19456,500000,Free,0.0,Everyone,Books & Reference,2017-11-23,2.0,4.0,23,11,2017,0.0
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336000000,23552,1000000,Free,0.0,Everyone,Books & Reference,2018-06-20,1.28,3.0,20,6,2018,0.0
169,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875000000,74752,500000,Free,0.0,Everyone,Books & Reference,2018-08-01,6.0.8,4.0,1,8,2018,0.0
170,Flybook,BOOKS_AND_REFERENCE,3.9,1778000000,5017,500000,Free,0.0,Mature 17+,Books & Reference,2014-10-16,1.0.3,2.1,16,10,2014,0.0
171,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709000000,6963,1000000,Free,0.0,Everyone,Books & Reference,2018-07-11,1.9,4.4,11,7,2018,0.0
174,English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527000000,2969,100000,Free,0.0,Everyone,Books & Reference,2018-03-31,14.0,4.0,31,3,2018,0.0
175,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322000000,3584,100000,Free,0.0,Everyone,Books & Reference,2018-05-28,6.0,4.0,28,5,2018,0.0
176,Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680000000,4096,100000,Free,0.0,Everyone,Books & Reference,2016-08-20,3.05,4.0,20,8,2016,0.0
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739000000,21504,50000,Free,0.0,Everyone,Books & Reference,2018-07-17,2.0,3.0,17,7,2018,0.0
178,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065000000,2355,500000,Free,0.0,Everyone,Books & Reference,2018-06-16,1.5,3.0,16,6,2018,0.0
180,SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,,2000000,7372,50000,Free,0.0,Everyone,Books & Reference,2018-06-15,3.0,6.0,15,6,2018,0.0
